id_categoria,nombre
1,Categoria 00001
2,Categoria 00002
3,Categoria 00003
4,Categoria 00004
5,Categoria 00005
6,Categoria 00006
7,Categoria 00007
8,Categoria 00008
9,Categoria 00009
10,Categoria 00010
11,Categoria 00011
12,Categoria 00012
13,Categoria 00013
14,Categoria 00014
15,Categoria 00015
16,Categoria 00016
17,Categoria 00017
18,Categoria 00018
19,Categoria 00019
20,Categoria 00020
21,Categoria 00021
22,Categoria 00022
23,Categoria 00023
24,Categoria 00024
25,Categoria 00025
26,Categoria 00026
27,Categoria 00027
28,Categoria 00028
29,Categoria 00029
30,Categoria 00030
31,Categoria 00031
32,Categoria 00032
33,Categoria 00033
34,Categoria 00034
35,Categoria 00035
36,Categoria 00036
37,Categoria 00037
38,Categoria 00038
39,Categoria 00039
40,Categoria 00040
41,Categoria 00041
42,Categoria 00042
43,Categoria 00043
44,Categoria 00044
45,Categoria 00045
46,Categoria 00046
47,Categoria 00047
48,Categoria 00048
49,Categoria 00049
50,Categoria 00050
51,Categoria 00051
52,Categoria 00052
53,Categoria 00053
54,Categoria 00054
55,Categoria 00055
56,Categoria 00056
57,Categoria 00057
58,Categoria 00058
59,Categoria 00059
60,Categoria 00060
61,Categoria 00061
62,Categoria 00062
63,Categoria 00063
64,Categoria 00064
65,Categoria 00065
66,Categoria 00066
67,Categoria 00067
68,Categoria 00068
69,Categoria 00069
70,
71,Categoria 00071
72,Categoria 00072
73,Categoria 00073
74,Categoria 00074
75,Categoria 00075
76,Categoria 00076
77,Categoria 00077
78,Categoria 00078
79,Categoria 00079
80,Categoria 00080
81,Categoria 00081
82,Categoria 00082
83,Categoria 00083
84,Categoria 00084
85,Categoria 00085
86,Categoria 00086
87,Categoria 00087
88,Categoria 00088
89,Categoria 00089
90,Categoria 00090
91,Categoria 00091
92,Categoria 00092
93,Categoria 00093
94,Categoria 00094
95,Categoria 00095
96,Categoria 00096
97,Categoria 00097
98,Categoria 00098
99,Categoria 00099
100,Categoria 00100
101,Categoria 00101
102,Categoria 00102
103,Categoria 00103
104,Categoria 00104
105,Categoria 00105
106,Categoria 00106
107,Categoria 00107
108,Categoria 00108
109,Categoria 00109
110,Categoria 00110
111,Categoria 00111
112,Categoria 00112
113,Categoria 00113
114,Categoria 00114
115,Categoria 00115
116,Categoria 00116
117,Categoria 00117
118,Categoria 00118
119,Categoria 00119
120,Categoria 00120
121,Categoria 00121
122,Categoria 00122
123,Categoria 00123
124,Categoria 00124
CAT125,Categoria 00125
126,Categoria 00126
127,Categoria 00127
128,Categoria 00128
129,Categoria 00129
130,Categoria 00130
131,Categoria 00131
132,Categoria 00132
133,Categoria 00133
134,Categoria 00134
135,Categoria 00135
136,Categoria 00136
137,Categoria 00137
138,Categoria 00138
139,Categoria 00139
140,
141,Categoria 00141
142,Categoria 00142
143,Categoria 00143
144,Categoria 00144
145,Categoria 00145
146,Categoria 00146
147,Categoria 00147
148,Categoria 00148
149,Categoria 00149
150,Categoria 00150
151,Categoria 00151
152,Categoria 00152
153,Categoria 00153
154,Categoria 00154
155,Categoria 00155
156,Categoria 00156
157,Categoria 00157
158,Categoria 00158
159,Categoria 00159
160,Categoria 00160
161,Categoria 00161
162,Categoria 00162
163,Categoria 00163
164,Categoria 00164
165,Categoria 00165
166,Categoria 00166
167,Categoria 00167
168,Categoria 00168
169,Categoria 00169
170,Categoria 00170
171,Categoria 00171
172,Categoria 00172
173,Categoria 00173
174,Categoria 00174
175,Categoria 00175
176,Categoria 00176
177,Categoria 00177
178,Categoria 00178
179,Categoria 00179
180,Categoria 00180
181,Categoria 00181
182,Categoria 00182
183,Categoria 00183
184,Categoria 00184
185,Categoria 00185
186,Categoria 00186
187,Categoria 00187
188,Categoria 00188
189,Categoria 00189
190,Categoria 00190
191,Categoria 00191
192,Categoria 00192
193,Categoria 00193
194,Categoria 00194
195,Categoria 00195
196,Categoria 00196
197,Categoria 00197
198,Categoria 00198
199,Categoria 00199
200,Categoria 00200
201,Categoria 00201
202,Categoria 00202
203,Categoria 00203
204,Categoria 00204
205,Categoria 00205
206,Categoria 00206
207,Categoria 00207
208,Categoria 00208
209,Categoria 00209
210,
211,Categoria 00211
212,Categoria 00212
213,Categoria 00213
214,Categoria 00214
215,Categoria 00215
216,Categoria 00216
217,Categoria 00217
218,Categoria 00218
219,Categoria 00219
220,Categoria 00220
221,Categoria 00221
222,Categoria 00222
223,Categoria 00223
224,Categoria 00224
225,Categoria 00225
226,Categoria 00226
227,Categoria 00227
228,Categoria 00228
229,Categoria 00229
230,Categoria 00230
231,Categoria 00231
232,Categoria 00232
233,Categoria 00233
234,Categoria 00234
235,Categoria 00235
236,Categoria 00236
237,Categoria 00237
238,Categoria 00238
239,Categoria 00239
240,Categoria 00240
241,Categoria 00241
242,Categoria 00242
243,Categoria 00243
244,Categoria 00244
245,Categoria 00245
246,Categoria 00246
247,Categoria 00247
248,Categoria 00248
249,Categoria 00249
CAT250,Categoria 00250
251,Categoria 00251
252,Categoria 00252
253,Categoria 00253
254,Categoria 00254
255,Categoria 00255
256,Categoria 00256
257,Categoria 00257
258,Categoria 00258
259,Categoria 00259
260,Categoria 00260
261,Categoria 00261
262,Categoria 00262
263,Categoria 00263
264,Categoria 00264
265,Categoria 00265
266,Categoria 00266
267,Categoria 00267
268,Categoria 00268
269,Categoria 00269
270,Categoria 00270
271,Categoria 00271
272,Categoria 00272
273,Categoria 00273
274,Categoria 00274
275,Categoria 00275
276,Categoria 00276
277,Categoria 00277
278,Categoria 00278
279,Categoria 00279
280,
281,Categoria 00281
282,Categoria 00282
283,Categoria 00283
284,Categoria 00284
285,Categoria 00285
286,Categoria 00286
287,Categoria 00287
288,Categoria 00288
289,Categoria 00289
290,Categoria 00290
291,Categoria 00291
292,Categoria 00292
293,Categoria 00293
294,Categoria 00294
295,Categoria 00295
296,Categoria 00296
297,Categoria 00297
298,Categoria 00298
299,Categoria 00299
300,Categoria 00300
301,Categoria 00301
302,Categoria 00302
303,Categoria 00303
304,Categoria 00304
305,Categoria 00305
306,Categoria 00306
307,Categoria 00307
308,Categoria 00308
309,Categoria 00309
310,Categoria 00310
311,Categoria 00311
312,Categoria 00312
313,Categoria 00313
314,Categoria 00314
315,Categoria 00315
316,Categoria 00316
317,Categoria 00317
318,Categoria 00318
319,Categoria 00319
320,Categoria 00320
321,Categoria 00321
322,Categoria 00322
323,Categoria 00323
324,Categoria 00324
325,Categoria 00325
326,Categoria 00326
327,Categoria 00327
328,Categoria 00328
329,Categoria 00329
330,Categoria 00330
331,Categoria 00331
332,Categoria 00332
333,Categoria 00333
334,Categoria 00334
335,Categoria 00335
336,Categoria 00336
337,Categoria 00337
338,Categoria 00338
339,Categoria 00339
340,Categoria 00340
341,Categoria 00341
342,Categoria 00342
343,Categoria 00343
344,Categoria 00344
345,Categoria 00345
346,Categoria 00346
347,Categoria 00347
348,Categoria 00348
349,Categoria 00349
350,
351,Categoria 00351
352,Categoria 00352
353,Categoria 00353
354,Categoria 00354
355,Categoria 00355
356,Categoria 00356
357,Categoria 00357
358,Categoria 00358
359,Categoria 00359
360,Categoria 00360
361,Categoria 00361
362,Categoria 00362
363,Categoria 00363
364,Categoria 00364
365,Categoria 00365
366,Categoria 00366
367,Categoria 00367
368,Categoria 00368
369,Categoria 00369
370,Categoria 00370
371,Categoria 00371
372,Categoria 00372
373,Categoria 00373
374,Categoria 00374
CAT375,Categoria 00375
376,Categoria 00376
377,Categoria 00377
378,Categoria 00378
379,Categoria 00379
380,Categoria 00380
381,Categoria 00381
382,Categoria 00382
383,Categoria 00383
384,Categoria 00384
385,Categoria 00385
386,Categoria 00386
387,Categoria 00387
388,Categoria 00388
389,Categoria 00389
390,Categoria 00390
391,Categoria 00391
392,Categoria 00392
393,Categoria 00393
394,Categoria 00394
395,Categoria 00395
396,Categoria 00396
397,Categoria 00397
398,Categoria 00398
399,Categoria 00399
400,Categoria 00400
400,Categoria 00400
401,Categoria 00401
402,Categoria 00402
403,Categoria 00403
404,Categoria 00404
405,Categoria 00405
406,Categoria 00406
407,Categoria 00407
408,Categoria 00408
409,Categoria 00409
410,Categoria 00410
411,Categoria 00411
412,Categoria 00412
413,Categoria 00413
414,Categoria 00414
415,Categoria 00415
416,Categoria 00416
417,Categoria 00417
418,Categoria 00418
419,Categoria 00419
420,
421,Categoria 00421
422,Categoria 00422
423,Categoria 00423
424,Categoria 00424
425,Categoria 00425
426,Categoria 00426
427,Categoria 00427
428,Categoria 00428
429,Categoria 00429
430,Categoria 00430
431,Categoria 00431
432,Categoria 00432
433,Categoria 00433
434,Categoria 00434
435,Categoria 00435
436,Categoria 00436
437,Categoria 00437
438,Categoria 00438
439,Categoria 00439
440,Categoria 00440
441,Categoria 00441
442,Categoria 00442
443,Categoria 00443
444,Categoria 00444
445,Categoria 00445
446,Categoria 00446
447,Categoria 00447
448,Categoria 00448
449,Categoria 00449
450,Categoria 00450
451,Categoria 00451
452,Categoria 00452
453,Categoria 00453
454,Categoria 00454
455,Categoria 00455
456,Categoria 00456
457,Categoria 00457
458,Categoria 00458
459,Categoria 00459
460,Categoria 00460
461,Categoria 00461
462,Categoria 00462
463,Categoria 00463
464,Categoria 00464
465,Categoria 00465
466,Categoria 00466
467,Categoria 00467
468,Categoria 00468
469,Categoria 00469
470,Categoria 00470
471,Categoria 00471
472,Categoria 00472
473,Categoria 00473
474,Categoria 00474
475,Categoria 00475
476,Categoria 00476
477,Categoria 00477
478,Categoria 00478
479,Categoria 00479
480,Categoria 00480
481,Categoria 00481
482,Categoria 00482
483,Categoria 00483
484,Categoria 00484
485,Categoria 00485
486,Categoria 00486
487,Categoria 00487
488,Categoria 00488
489,Categoria 00489
490,
491,Categoria 00491
492,Categoria 00492
493,Categoria 00493
494,Categoria 00494
495,Categoria 00495
496,Categoria 00496
497,Categoria 00497
498,Categoria 00498
499,Categoria 00499
CAT500,Categoria 00500
501,Categoria 00501
502,Categoria 00502
503,Categoria 00503
504,Categoria 00504
505,Categoria 00505
506,Categoria 00506
