id_cliente,nombre,ciudad,pais,segmento,fecha_registro
1,Cliente 00001,Santa Ana,ELS,,2025-09-21
2,Cliente 00002,Santa Ana,sv,,2025-10-18
3,Cliente 00003,Morazan,HN,,2025-12-25
4,Cliente 00004,La Paz,HN,Mayorista,2025-04-01
5,Cliente 00005,SAN SALVADOR,SV,Constructor,2025-02-15
6,Cliente 00006,San Salvador,NI,Mayorista,2025-11-11
7,Cliente 00007,Sonsonate,GT,Constructor,2025-06-12
8,Cliente 00008,Cuscatlan,NI,,2025-11-03
9,Cliente 00009,,NI,Constructor,2025-02-18
10,Cliente 00010,Usulutan,ELS,Mayorista,2025-03-21
11,Cliente 00011,Usulutan,SV,Constructor,2025-06-15
12,Cliente 00012,Morazan,SV,Mayorista,2025-10-18
13,Cliente 00013,La Paz,SV,Mayorista,2025-09-26
14,Cliente 00014,La Paz,GT,,2025-05-28
15,Cliente 00015,Morazan,HN,Mayorista,2025-09-17
16,Cliente 00016,San Salvador,HN,PyME,2025-03-27
17,Cliente 00017,san salvador,NI,,2025-11-04
18,Cliente 00018,,NI,,2025-07-16
19,Cliente 00019,santa ana,GT,PyME,2025-02-21
20,Cliente 00020,San Vicente,NI,Mayorista,2025-12-18
21,Cliente 00021,Ahuachapan,HN,Mayorista,2025-11-10
22,Cliente 00022,La Paz,GT,Mayorista,2025-04-10
23,Cliente 00023,Ahuachapan,SV,Hogar,2025-03-21
24,Cliente 00024,San Vicente,HN,Mayorista,2025-06-07
25,Cliente 00025,Ahuachapan,NI,Mayorista,2025-08-17
26,Cliente 00026,La Paz,GT,,2025-11-02
27,Cliente 00027,,ELS,Constructor,2025-08-26
28,Cliente 00028,Santa Ana,GT,,2025-05-15
29,Cliente 00029,San Miguel,GT,Mayorista,2025-02-21
30,Cliente 00030,Ahuachapan,GT,Constructor,2025-02-07
31,Cliente 00031,Morazan,sv,Mayorista,2025-01-03
32,Cliente 00032,San Salvador,GT,,2025-09-27
33,Cliente 00033,SAN SALVADOR,HN,PyME,2025-04-04
34,Cliente 00034,san salvador,HN,Constructor,2025-11-25
35,Cliente 00035,Chalatenango,sv,Hogar,2025-06-22
36,Cliente 00036,,HN,,2025-08-23
37,Cliente 00037,santa ana,HN,PyME,2025-08-19
38,Cliente 00038,santa ana,HN,,2025-05-03
39,Cliente 00039,Morazan,NI,PyME,2025-03-26
40,Cliente 00040,Usulutan,HN,Mayorista,2025-07-26
C41,Cliente 00041,santa ana,HN,PyME,2025-07-01
42,Cliente 00042,Santa Ana,GT,Hogar,2025-01-27
43,Cliente 00043,Chalatenango,NI,Constructor,2025-01-01
44,Cliente 00044,La Paz,ELS,Constructor,2025-08-11
45,Cliente 00045,,SV,Mayorista,2025-08-19
46,Cliente 00046,San Miguel,sv,,2025-09-07
47,Cliente 00047,Morazan,HN,Constructor,2025-08-20
48,Cliente 00048,La Libertad,NI,Hogar,2025-09-13
49,Cliente 00049,san salvador,sv,PyME,2025-01-21
50,Cliente 00050,san salvador,GT,PyME,2025-08-23
51,Cliente 00051,San Salvador,sv,,2025-04-26
52,Cliente 00052,santa ana,sv,PyME,2025-07-09
53,Cliente 00053,Morazan,HN,Mayorista,2025-02-13
54,Cliente 00054,,ELS,PyME,2025-06-06
55,Cliente 00055,Ahuachapan,GT,Mayorista,2025-07-10
56,Cliente 00056,San Vicente,sv,Constructor,2025-09-16
57,,San Vicente,SV,,2025-09-26
58,Cliente 00058,Ahuachapan,SV,PyME,2025-04-01
59,Cliente 00059,SAN SALVADOR,GT,Constructor,2025-07-18
60,Cliente 00060,San Miguel,SV,Constructor,2025-03-12
61,Cliente 00061,Sonsonate,SV,,2025-12-09
62,Cliente 00062,Sonsonate,HN,Constructor,2025-10-09
63,Cliente 00063,,NI,,2025-03-04
64,Cliente 00064,Ahuachapan,SV,Mayorista,2025-03-04
65,Cliente 00065,san salvador,ELS,PyME,2025-11-21
66,Cliente 00066,Santa Ana,HN,Constructor,2025-05-19
67,Cliente 00067,SAN SALVADOR,ELS,Constructor,2025-03-09
68,Cliente 00068,Ahuachapan,SV,Hogar,2025-07-28
69,Cliente 00069,Ahuachapan,GT,Hogar,2025-01-04
70,Cliente 00070,La Libertad,SV,Constructor,2025-02-04
71,Cliente 00071,Chalatenango,ELS,Mayorista,2025-10-21
72,Cliente 00072,,NI,,2025-01-13
73,Cliente 00073,La Union,HN,PyME,2025-10-15
74,Cliente 00074,Morazan,NI,Hogar,2025-11-12
75,Cliente 00075,Ahuachapan,GT,Constructor,2025-06-02
76,Cliente 00076,Morazan,SV,Constructor,2025-12-11
77,Cliente 00077,Usulutan,NI,Hogar,2025-05-25
78,Cliente 00078,Morazan,ELS,,2025-01-18
