id_detalle,id_pedido,id_producto,cantidad,precio_unitario,descuento_pct
1,38860,10852,2,25.4,-0.2
2,19298,6650,2,5.0,0.03
3,10690,9653,0,5.0,-0.2
4,24059,8471,8,-4.0,0
5,31968,9691,10,120.0,0.15
6,69210,14656,1,5.0,0.03
7,36714,11946,2,55.8,
8,32600,266,4,55.8,0
9,64121,10915,4,19.99,0
10,13854,361,8,25.4,0.03
11,21891,12172,-1,19.99,0.05
12,64004,11094,5,25.4,0.1
13,45401,777,5,55.8,0.15
14,2331,6805,10,0,0.15
15,33234,14157,2,120.0,-0.2
16,50293,944,0,5.0,0.1
17,39507,8048,1,19.99,0.1
18,1994,7251,6,0,0
19,66672,5705,2,8.5,0.05
20,5333,3647,10,55.8,0.1
21,71722,1242,10,0,0.05
22,59534,12706,4,120.0,-0.2
23,7563,5369,-1,-4.0,-0.2
24,21057,9542,1,120.0,1.2
25,7832,11772,1,12.75,0.1
26,71285,10253,-1,8.5,0.05
27,32054,12792,1,55.8,1.2
28,19871,6280,6,0,0.1
29,61555,14791,-1,8.5,-0.2
30,68213,15707,4,25.4,-0.2
31,32251,6688,0,8.5,0.05
32,69739,2498,3,19.99,-0.2
33,35215,15092,8,12.75,
34,9019,1739,-1,0,0.15
35,14833,10249,1,8.5,0
36,17230,11379,10,0,0.1
37,7459,11803,0,8.5,0.15
38,32721,11525,8,120.0,0.05
39,36044,8394,4,19.99,-0.2
40,68550,10745,10,120.0,0.05
41,59898,7079,3,5.0,1.2
42,63392,2228,3,120.0,0
43,56272,2376,6,5.0,0.05
44,65938,5335,2,120.0,0.03
45,11127,15557,0,12.75,0.15
46,11326,11444,2,8.5,0
47,65063,15211,5,25.4,0.15
48,68605,12421,3,8.5,0.1
49,32571,8388,8,55.8,0.15
50,71502,4491,0,12.75,0.15
51,27184,15594,10,19.99,0.03
52,17538,8894,8,8.5,
53,14670,2450,6,120.0,0
54,13624,13310,-1,0,-0.2
55,31411,14125,0,5.0,-0.2
56,34445,15887,2,-4.0,0.03
57,68993,6919,0,-4.0,0.03
58,3293,4355,1,-4.0,0.05
59,20556,4880,3,55.8,-0.2
60,32766,9566,8,8.5,-0.2
61,7805,7144,5,55.8,-0.2
62,47340,13615,2,120.0,
63,37006,7544,4,55.8,0.05
64,43631,10376,-1,120.0,0.15
65,37172,2398,1,19.99,1.2
66,23631,463,4,120.0,1.2
67,48441,15342,10,0,0.1
68,48770,284,2,0,0.03
69,13096,3452,8,-4.0,0.15
70,71939,9739,4,-4.0,0.15
71,32872,16042,8,5.0,0.1
72,57169,6671,-1,19.99,0.15
73,1406,3393,10,19.99,0.1
74,45256,7477,1,5.0,0.1
75,59685,8227,-1,12.75,-0.2
76,18741,2020,10,120.0,0.03
77,56914,3831,6,55.8,-0.2
78,49010,5050,10,19.99,1.2
79,36440,8372,6,19.99,0.1
80,72532,4590,2,120.0,0.1
81,57423,1706,3,55.8,0.03
82,24783,9660,1,8.5,0.05
83,68876,6681,10,8.5,0.15
84,37047,259,6,120.0,0.1
85,37012,15783,4,25.4,0.05
86,25941,4314,5,5.0,0.05
87,4684,9669,8,55.8,
88,2934,3119,10,0,1.2
89,67751,4134,-1,-4.0,
90,16549,13594,5,120.0,1.2
91,32350,7767,1,12.75,0
92,10625,3985,6,5.0,
93,50613,3314,1,25.4,0.05
94,34581,670,3,25.4,1.2
95,50157,14430,10,55.8,0.1
96,38149,15314,2,8.5,-0.2
97,66868,1984,-1,25.4,1.2
98,46945,2190,5,55.8,0.03
99,15730,345,5,-4.0,0.03
100,26449,5899,4,55.8,-0.2
101,47387,8374,10,5.0,0.1
102,9385,3496,2,120.0,0
103,12921,13045,1,25.4,0.15
104,45714,4713,-1,55.8,0.1
105,31762,13252,8,8.5,0
106,48495,5181,1,120.0,
107,5023,3211,1,0,0.05
108,34961,13178,5,-4.0,0
109,2510,454,2,8.5,0
110,52739,3869,2,19.99,-0.2
111,32076,10332,0,-4.0,0
112,68300,1552,3,19.99,0.03
113,2055,865,-1,55.8,0.15
114,44957,4538,4,5.0,1.2
115,13005,6770,10,-4.0,0.05
116,53850,11177,10,5.0,0.05
117,72286,12451,2,120.0,-0.2
118,38723,5110,8,8.5,
119,14904,5406,-1,19.99,
120,30682,2244,6,25.4,0.15
121,39016,5379,3,-4.0,0.1
122,69939,5533,3,19.99,
123,46178,14560,8,8.5,1.2
124,42130,1981,6,19.99,0.03
125,3071,10650,10,55.8,0.15
126,49932,1444,1,8.5,0.1
127,50036,2467,1,120.0,0.05
128,56728,16146,-1,19.99,1.2
129,13230,1037,10,120.0,0.05
130,17554,10760,3,120.0,0.05
131,53495,15,6,0,0
132,40102,5528,3,0,
133,48112,11479,2,19.99,0
134,52300,8675,2,-4.0,
135,33489,4209,8,5.0,0.05
136,23895,633,10,120.0,0.15
137,68511,12675,3,25.4,0.1
138,19890,5830,2,0,
139,37217,6402,4,120.0,-0.2
140,2377,9375,1,120.0,0.15
141,18697,3712,1,12.75,
142,51142,15631,6,8.5,0
143,35714,14993,2,8.5,
144,22050,3234,10,55.8,0.15
145,42877,6518,1,12.75,
146,9486,1633,5,25.4,0.1
147,23821,13772,1,0,0.05
148,14224,15623,6,25.4,0
149,45671,5040,5,0,0.05
150,40188,8445,1,8.5,
151,1251,9727,5,-4.0,1.2
152,15401,9107,0,0,0
153,4771,15260,0,120.0,0
154,54144,3782,3,25.4,
155,52314,8184,2,-4.0,0.03
156,28865,6648,8,55.8,0.05
157,63941,11665,5,19.99,-0.2
158,56535,1995,3,0,1.2
159,58279,4521,8,0,
160,7085,14805,5,0,0
161,34501,11403,8,5.0,1.2
162,7036,509,8,12.75,0.1
163,47992,8559,0,8.5,0.05
164,43759,9811,6,-4.0,0.03
165,40162,10847,3,5.0,
166,11409,6613,6,-4.0,0.15
167,72357,1323,0,-4.0,0.05
168,3258,10004,-1,120.0,0
169,14606,240,3,0,0
170,69474,12889,5,-4.0,0.05
171,1551,7607,4,8.5,1.2
172,28312,11135,4,8.5,-0.2
173,33396,6535,0,120.0,0.05
174,57115,13409,2,12.75,0.15
175,5580,6080,4,19.99,0.1
176,42421,15820,6,55.8,1.2
177,36181,14742,4,55.8,-0.2
178,25702,9952,3,5.0,0
179,17495,15716,8,8.5,0.1
180,35995,8136,-1,0,0.1
181,14073,11281,8,-4.0,0.03
182,53622,14571,4,0,0.05
183,42976,9275,6,55.8,0.05
184,32041,13303,10,19.99,0.15
185,72926,10565,2,5.0,0
186,65880,7808,6,5.0,0.15
187,27123,5139,0,55.8,0.03
188,22691,12859,1,5.0,0
189,64699,10222,5,-4.0,1.2
190,30305,6226,5,19.99,1.2
191,49770,11272,6,8.5,0.1
192,5295,13355,3,12.75,-0.2
193,34179,12356,3,55.8,0
194,22139,15717,0,-4.0,0
195,5746,9907,0,120.0,
196,9741,13030,5,25.4,0.15
197,61736,5219,8,12.75,0
198,210,10333,5,25.4,0.1
199,9732,14823,6,55.8,0.05
200,49937,7026,2,55.8,-0.2
201,52524,9945,2,8.5,0.03
202,9321,8245,5,0,-0.2
203,43888,6801,8,55.8,0.05
204,68724,728,1,25.4,0.03
205,45402,11538,3,-4.0,1.2
206,44417,7282,2,25.4,
207,23916,4979,4,0,
208,69534,103,8,55.8,0.15
209,39698,4105,5,25.4,0.05
210,20362,1702,2,0,0.1
211,33277,4482,2,19.99,0.1
212,49350,9272,10,8.5,0.15
213,70451,11566,0,25.4,
214,68400,1148,6,8.5,0.05
215,71322,14069,2,5.0,0.1
216,38329,10002,2,55.8,-0.2
217,55766,11074,4,5.0,
218,47971,4153,10,5.0,0.1
219,63952,15055,2,25.4,0.05
220,23293,13405,2,19.99,0.05
221,26460,16078,10,19.99,1.2
222,27982,11576,0,5.0,0.03
223,10585,8735,0,12.75,1.2
224,31537,6391,-1,5.0,
225,6616,10640,1,19.99,0.03
226,9525,4843,6,-4.0,
227,2382,15080,4,8.5,-0.2
228,32629,3613,4,12.75,0
229,6300,7003,0,120.0,0.05
230,45076,6178,5,8.5,-0.2
231,70270,1272,4,0,0.15
232,27066,14275,6,5.0,
233,18804,8477,6,-4.0,0.15
234,61304,11499,1,55.8,1.2
235,63651,15613,8,0,0.03
236,26567,14591,1,0,0.03
237,29513,8557,6,-4.0,0
238,3622,7163,2,55.8,-0.2
239,46371,3657,0,-4.0,1.2
240,69282,7665,1,5.0,0.1
241,6040,9424,4,12.75,-0.2
242,11481,3469,6,5.0,
243,68471,2404,6,120.0,0.03
244,41534,8637,1,120.0,1.2
245,48465,3999,6,120.0,0.1
246,70538,306,-1,8.5,0
247,13330,6287,3,25.4,0
248,66775,11054,3,12.75,0.15
249,38824,8096,3,25.4,
