id_pedido,id_cliente,fecha,canal,estado,ciudad_entrega
1,5605,2025-04-27,tienda,,La Paz
2,6109,2025-07-15,Tienda,Facturado,Cuscatlan
3,7602,2025-01-28,,Pendiente,San Vicente
4,5792,2025-10-26,Web,Anulado,San Salvador
5,968,2025-05-30,Marketplace,Pendiente,Morazan
6,5910,2025-09-14,Tienda,Completado,San Vicente
7,3603,2025-11-12,Web,Completado,santa ana
8,2129,2025-05-13,Web,Anulado,san salvador
9,12293,2025-02-05,WEB,Cerrado,Santa Ana
10,8389,2025-02-05,CallCenter,Anulado,San Miguel
11,7783,2025-07-14,Tienda,Cerrado,La Paz
12,2785,2025-08-19,tienda,Facturado,San Vicente
13,4684,2025-03-05,Tienda,Cerrado,San Miguel
14,10405,2025-12-23,Tienda,completado,Chalatenango
15,486,2025-08-13,tienda,Pendiente,Morazan
16,13245,2025-10-06,tienda,Completado,La Union
17,9449,2025-12-14,,Cerrado,La Libertad
18,12343,2025-06-01,CallCenter,,
19,12353,2025-11-06,Web,Facturado,Chalatenango
20,5200,2025-12-28,tienda,Pendiente,Santa Ana
21,1846,2025-10-09,Tienda,completado,SAN SALVADOR
22,11050,2025-09-26,Web,Anulado,SAN SALVADOR
23,11549,2025-03-22,Web,Anulado,SAN SALVADOR
24,5352,2025-02-08,Web,Anulado,La Libertad
25,333,2025-03-16,tienda,,La Union
26,5800,2025-05-25,Marketplace,Anulado,SAN SALVADOR
27,10742,2025-10-13,WEB,Pendiente,Usulutan
28,750,2025-09-10,,Anulado,San Salvador
29,1464,2025-03-09,Marketplace,Facturado,Ahuachapan
30,11846,2025-06-09,CallCenter,Cerrado,San Vicente
31,8290,2025-10-16,CallCenter,Facturado,La Union
32,5709,2025-09-29,WEB,completado,Ahuachapan
33,3682,2025-02-16,Tienda,Anulado,San Vicente
34,7485,2025-04-19,Tienda,,La Libertad
35,7208,2025-11-21,Tienda,Pendiente,Cuscatlan
36,6462,2025-07-14,Tienda,completado,Cuscatlan
37,5313,2025-11-17,Tienda,Pendiente,San Vicente
38,5225,2025-01-12,CallCenter,Anulado,Usulutan
39,2314,2025-07-11,,Anulado,Sonsonate
40,4352,2025-11-11,Marketplace,Anulado,santa ana
41,136,2025-04-18,Tienda,,Usulutan
42,1925,2025-10-14,tienda,,san salvador
43,5744,2025-06-16,WEB,,santa ana
44,9566,2025-03-17,Marketplace,,santa ana
45,9214,2025-11-04,CallCenter,completado,Morazan
46,4481,2025-02-20,Tienda,Pendiente,La Libertad
47,12501,2025-12-17,Tienda,completado,Morazan
48,10589,2025-02-15,Web,completado,san salvador
49,10786,2025-07-07,Tienda,,
50,6997,2025-03-13,,Anulado,Sonsonate
51,6629,2025-03-04,tienda,completado,La Paz
52,11977,2025-11-09,tienda,Pendiente,Sonsonate
53,11710,2025-08-03,,Completado,La Paz
54,6872,2025-06-08,,Pendiente,Chalatenango
55,6603,2025-09-09,Marketplace,Cerrado,San Salvador
56,7422,2025-08-17,Tienda,Pendiente,Chalatenango
57,7231,2025-04-23,Web,Pendiente,La Paz
58,1062,2025-02-11,Marketplace,Cerrado,San Vicente
59,8724,2025-01-09,,Pendiente,Morazan
60,2302,2025-11-13,Web,Facturado,San Vicente
61,3274,2025-08-21,Tienda,Anulado,santa ana
62,12508,2025-08-21,Tienda,Anulado,santa ana
63,3580,2025-05-01,,Anulado,SAN SALVADOR
64,8272,2025-01-04,tienda,,La Union
65,5457,2025-12-08,CallCenter,,SAN SALVADOR
66,4205,2025-08-08,Marketplace,Anulado,Usulutan
67,11973,2025-10-14,CallCenter,Cerrado,La Libertad
68,9369,2025-05-31,CallCenter,Cerrado,Chalatenango
69,1851,2025-05-17,,Completado,Usulutan
70,6535,2025-02-13,WEB,Cerrado,Sonsonate
71,8555,2025-09-20,CallCenter,Completado,Cuscatlan
72,6302,2025-06-09,,Pendiente,La Paz
73,10547,2025-10-10,tienda,,Morazan
74,8258,2025-01-21,Tienda,Pendiente,La Union
75,10650,2025-01-03,Web,Pendiente,Sonsonate
76,13197,2025-09-08,Marketplace,,Chalatenango
77,1882,2025-10-22,WEB,completado,La Paz
78,6210,2025-05-24,CallCenter,Facturado,Morazan
79,4204,2025-11-07,WEB,,San Miguel
80,12030,2025-03-08,CallCenter,,La Libertad
81,12461,2025-07-18,Web,,San Salvador
82,8626,2025-08-06,CallCenter,Facturado,Morazan
83,6590,2025-03-18,CallCenter,Anulado,san salvador
84,1064,2025-05-15,tienda,Facturado,Santa Ana
85,812,2025-06-28,tienda,Anulado,
86,7595,2025-03-30,Web,completado,SAN SALVADOR
87,2630,2025-11-26,CallCenter,completado,San Miguel
88,2083,2025-05-28,,Facturado,santa ana
89,4998,2025-10-21,Tienda,Pendiente,Sonsonate
90,6545,2025-03-16,CallCenter,Facturado,Chalatenango
91,2130,2025-11-26,Marketplace,Anulado,Chalatenango
