id_producto,nombre,id_categoria,marca,activo
1,Clavos 00001,222,,NO
2,Taladro 00002,8990,Stanley,NO
3,Cerradura 00003,10555,Truper,TRUE
4,Sierra 00004,5641,,
5,Brocha 00005,4198,Makita,NO
6,Cerradura 00006,613,Truper,NO
7,Tornillo 00007,3028,Stanley,FALSE
8,Tornillo 00008,9422,Total,0
9,Tornillo 00009,2347,,0
10,Pintura 00010,4079,Total,
11,Taladro 00011,6027,EPAHome,SI
12,Reflector 00012,3670,Makita,SI
13,Clavos 00013,4821,Total,
14,Pulidora 00014,9938,,0
15,Reflector 00015,2828,Truper,FALSE
16,Reflector 00016,9841,EPAHome,SI
17,Martillo 00017,2797,Truper,NO
18,Taladro 00018,10541,Truper,0
19,Pintura 00019,4809,Pretul,
20,Brocha 00020,9017,Makita,FALSE
21,Taladro 00021,5240,Bosch,
22,Tornillo 00022,1334,EPAHome,
23,Sierra 00023,313,,TRUE
24,Cerradura 00024,6462,Makita,SI
25,Reflector 00025,2287,Stanley,NO
26,Sierra 00026,8206,Pretul,1
27,Cerradura 00027,2928,Makita,TRUE
28,Pintura 00028,5804,Makita,NO
29,Tornillo 00029,9544,,FALSE
30,Brocha 00030,9710,EPAHome,0
31,Brocha 00031,6050,EPAHome,FALSE
32,Pulidora 00032,5269,,NO
33,,248,Makita,SI
34,Cerradura 00034,1884,Total,FALSE
35,Clavos 00035,10142,Stanley,1
36,Reflector 00036,9148,Pretul,NO
37,Sierra 00037,2805,Bosch,
38,Sierra 00038,1650,Stanley,SI
39,Brocha 00039,4974,EPAHome,0
40,Tornillo 00040,9346,Stanley,TRUE
41,Pulidora 00041,10119,Truper,1
42,Taladro 00042,2653,Bosch,NO
43,Sierra 00043,1483,Bosch,0
44,Brocha 00044,8706,Total,1
45,Cerradura 00045,4640,Stanley,0
46,Taladro 00046,6835,Total,NO
47,Sierra 00047,422,Truper,SI
48,Cerradura 00048,1355,EPAHome,SI
49,Tornillo 00049,201,Makita,SI
50,Pulidora 00050,2380,Bosch,SI
51,Brocha 00051,2057,Total,FALSE
52,Sierra 00052,4311,Makita,0
53,Pintura 00053,4336,,1
54,Tornillo 00054,2837,Stanley,SI
55,Cerradura 00055,7925,Stanley,
56,Taladro 00056,3241,EPAHome,0
57,Brocha 00057,6142,Truper,FALSE
58,Sierra 00058,6594,Makita,TRUE
59,Clavos 00059,851,Truper,0
60,Sierra 00060,6330,Truper,
61,Pintura 00061,5420,Total,FALSE
62,Taladro 00062,10833,,
63,Brocha 00063,4131,Stanley,
64,Brocha 00064,1488,Total,TRUE
65,Tornillo 00065,366,Bosch,0
66,,7726,Bosch,1
67,Reflector 00067,4586,Makita,SI
68,Pulidora 00068,1753,Makita,SI
